id,listing_url,host_name,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,calculated_host_listings_count
14550649,https://www.airbnb.com/rooms/14550649,Irina,Toronto,Annex,Entire rental unit,Entire home/apt,99.0,28,375,t,0,0,0,0,203,Unlicensed,3
14552494,https://www.airbnb.com/rooms/14552494,Samantha,Toronto,South Riverdale,Private room in home,Private room,45.0,28,1125,t,0,7,37,312,68,Unlicensed,2
14183374,https://www.airbnb.com/rooms/14183374,Catherine,Toronto,South Riverdale,Private room in home,Private room,99.0,28,1125,t,0,0,0,64,8,Unlicensed,2
14185882,https://www.airbnb.com/rooms/14185882,Shawn,Toronto,Waterfront Communities-The Island,Entire condo,Entire home/apt,196.0,28,1125,t,27,57,87,87,0,Unlicensed,1
14186226,https://www.airbnb.com/rooms/14186226,Derek,Toronto,North St.James Town,Entire rental unit,Entire home/apt,140.0,28,1125,f,0,0,0,0,1,Unlicensed,1
14564854,https://www.airbnb.com/rooms/14564854,Shae,Toronto,Palmerston-Little Italy,Entire rental unit,Entire home/apt,78.0,28,30,t,0,0,0,189,67,Unlicensed,1
14186364,https://www.airbnb.com/rooms/14186364,Kane,North York,Don Valley Village,Private room in townhouse,Private room,43.0,28,1125,t,0,0,0,244,9,Unlicensed,1
14187181,https://www.airbnb.com/rooms/14187181,Gaby,Toronto,Waterfront Communities-The Island,Entire loft,Entire home/apt,176.0,1,1125,t,0,0,18,19,54,Licensed,1
14193275,https://www.airbnb.com/rooms/14193275,Tina,Toronto,Waterfront Communities-The Island,Entire condo,Entire home/apt,296.0,28,180,t,29,59,89,89,29,Unlicensed,1
14572722,https://www.airbnb.com/rooms/14572722,Armando,Toronto,Annex,Private room in rental unit,Private room,53.0,28,1125,t,0,0,0,0,16,Licensed,1
14578323,https://www.airbnb.com/rooms/14578323,Christina,Toronto,Corso Italia-Davenport,Entire home,Entire home/apt,185.0,28,100,t,0,0,0,0,128,Unlicensed,1
14582812,https://www.airbnb.com/rooms/14582812,Youzhen And Zac,Toronto,Little Portugal,Private room in home,Private room,46.0,28,120,t,0,0,0,0,43,Unlicensed,1
14585169,https://www.airbnb.com/rooms/14585169,Ann,Toronto,South Riverdale,Private room in home,Private room,50.0,1,1125,t,0,1,2,221,163,Licensed,1
14199398,https://www.airbnb.com/rooms/14199398,Billy,Scarborough,Dorset Park,Private room in townhouse,Private room,150.0,28,1125,t,0,0,0,0,0,Unlicensed,1
14586040,https://www.airbnb.com/rooms/14586040,Dan,Toronto,High Park North,Private room in townhouse,Private room,367.0,28,1125,t,24,24,54,329,7,Unlicensed,2
14587149,https://www.airbnb.com/rooms/14587149,Cynthia,Toronto,Waterfront Communities-The Island,Entire rental unit,Entire home/apt,135.0,28,1125,t,0,0,0,0,13,Unlicensed,1
14591163,https://www.airbnb.com/rooms/14591163,Elize,Toronto,Niagara,Entire guest suite,Entire home/apt,105.0,28,33,t,0,0,0,0,38,Unlicensed,2
14596380,https://www.airbnb.com/rooms/14596380,Saif,Toronto,Waterfront Communities-The Island,Entire condo,Entire home/apt,115.0,28,250,t,0,0,0,0,129,Unlicensed,1
14202538,https://www.airbnb.com/rooms/14202538,Minhly Leah,Etobicoke,Alderwood,Private room in bungalow,Private room,78.0,5,1125,t,4,18,48,323,10,Licensed,1
14609434,https://www.airbnb.com/rooms/14609434,Rebecca,Toronto,South Parkdale,Entire rental unit,Entire home/apt,150.0,28,99,t,0,0,0,0,14,Unlicensed,1
14214647,https://www.airbnb.com/rooms/14214647,Angie,Toronto,North Riverdale,Entire loft,Entire home/apt,148.0,28,1125,t,0,0,0,0,14,Unlicensed,1
14618091,https://www.airbnb.com/rooms/14618091,Lily,Toronto,Little Portugal,Entire condo,Entire home/apt,100.0,28,30,f,0,0,0,0,34,Unlicensed,1
14214990,https://www.airbnb.com/rooms/14214990,Jason,York,Oakwood Village,Entire home,Entire home/apt,139.0,1000,1000,t,30,60,90,365,0,Unlicensed,2
14215561,https://www.airbnb.com/rooms/14215561,Ana,Toronto,Dovercourt-Wallace Emerson-Junction,Private room in home,Private room,30.0,28,1125,f,0,0,0,0,0,Unlicensed,1
14655584,https://www.airbnb.com/rooms/14655584,Ajay,Scarborough,Clairlea-Birchmount,Private room in townhouse,Private room,48.0,28,31,t,8,24,54,54,19,Unlicensed,2
14664277,https://www.airbnb.com/rooms/14664277,Deepi,Toronto,Church-Yonge Corridor,Entire rental unit,Entire home/apt,89.0,28,30,t,0,0,0,0,1,Unlicensed,1
14217678,https://www.airbnb.com/rooms/14217678,Robyn,Toronto,Palmerston-Little Italy,Private room in home,Private room,50.0,28,1125,t,0,0,0,0,4,Unlicensed,2
14222166,https://www.airbnb.com/rooms/14222166,Mathilde,Toronto,Palmerston-Little Italy,Private room in rental unit,Private room,60.0,28,1125,f,0,0,0,0,17,Unlicensed,1
14222612,https://www.airbnb.com/rooms/14222612,Jordan,Toronto,Kensington-Chinatown,Private room in rental unit,Private room,120.0,3,1125,t,3,25,55,330,111,Licensed,3
14227945,https://www.airbnb.com/rooms/14227945,Paul,Toronto,Waterfront Communities-The Island,Entire condo,Entire home/apt,927.0,1,1125,t,22,52,82,172,370,Licensed,2
